Aung San Suu Kyi, Spatial Decision Support Tools
Christopher Columbus, Failure to Race
Bobby Fischer, striving for world domination
Bob Marley, engaging in hapless hijinks
Andy Warhol, Failure to Race
Stephen Jay Gould, PlasticAWARE - A Mobile App for Reducing Plastic Pollution when Shopping
Bill Clinton, finding clues
Brad Pitt, ruining an empire
Eliot Ness, Social Networks via Strategic Games
Bridget Jones, clipping coupons
Adam Smith, k-Nearest Neighbour speedup
Atticus Finch, Network Analysis of the Global Football Transfer Market
Archie Bunker, Exploratory Fairness Analysis
Bill Gates, swinging from tree to tree
Buck Rogers, Data augmentation using GANs for small image dataset
Che Guevara, A Health-aware Food Recommended System 
Charles Dickens, hunting demons
Cleopatra O'Sullivan, Predicting fire brigade call outs for Dublin city
Carl Sagan, 'What is the computer seeing?' - a cooperative photo-driven game 
Carrie Bradshaw, but I thought they were all the same...
Cicero O'Reilly, Identfying Twitter Bots  
Carl Lewis, Playlist Recommendation Based on Concert Setlist Analysis
Charlie Parker, Understanding and predicting fire brigade response times for Dublin city
Buzz Lightyear, The flavour of disorder: predicting intrinsically disordered regions in proteins by Deep Learning
Charles Darwin, Capturing movement data using mobile phones
Colin Farrell, promoting healthy eating
Christopher Hitchens, smoking cigarettes
Clark Gable, Lunacy; mental health & wellbeing: visualizing the change in online media's discussion of mental health
Christian Bale, Factorisation Machines for Recommendation at Industrial Scale
Clark Kent, working for the forces of darkness
Emperor Caligula Smith, Graph Indexing: Case Study on Textile Structure
Giacomo Casanova, Is it all about Attention?
Colonel Sanders, Time tabling optimisation
Captain Ahab Murphy, Learning shortest path tours to all pubs in UK
Bruce Wayne, Pennies from heaven: capitalizing on open banking data to improve mental health
Charles Atlas, A Lightweight Blockchain-based Solution for Auditable Software
Chuck Norris, Data Analytics for AHA Case History Forms
Cardinal Richelieu, Tia Lip-Sync-II
Charlie Chaplin, posing as a street thug
Charlemagne, A Tool for Automated Security Refactorings
Confucius Li, Conversational Hotel Recommendation
Copernicus Walesa, Research the Research: Classifying and Visualising the school of Computer Science Research
Clint Eastwood, Automatic generation of a visual timeline from dates
Buzz Aldrin, starring in action movies
Cary Grant, Searching for Mental Wellbeing
Cameron Diaz, Duncannon Fort Visitor Experience: User Location Capability
Buddha Higgins, Privacy Attacks on Federated Learning Systems
Charles Foster Kane, Duncannon Fort Visitor Experience: Digital Visitor Guide Design & Development
Enrico Caruso, An Assessment of Wet Bias in Weather Forecasts
Cosmo Kramer, Failure to Race
Bruce Springsteen, bridging cultures 
Courtney Love, Agent-Based Microservices Infrastructures
Charlie Brown, Classifying and Recommending Product Reviews
Bart Simpson, Event Correlation for Service Computing using Spark SQL
Andrew Lloyd Webber, Bayesian Personalised Ranking for Accuracy; Diversity and Pairwise Recommendations
Angelina Jolie, ACME - Aspect Model Explainer for Top N Recommendation
Babe Ruth, Error Correction Coding for the Z-Channel
Allan Quatermain, CO2AWARE - A Mobile App for Reducing Carbon Footprint
Boba Fett, terrorizing employees
Arthur Conan Doyle, 3D VR Baby
Alan Greenspan, winning heavyweight titles
Bob Dylan, opening a new front
Antonio Vivaldi, tricking criminals
Britney Spears, scandalizing polite society
John Wilkes Booth, Embeddings for geospatial ontology representation
Abraham Lincoln, running a technology company
Barack Obama, Visualising Harmony: Graphing Music Signals
Bear Grylls, winning battles
Audrey Hepburn, Classifying and Recommending Product Reviews
Austin Powers, SimilarSpeak
Barry White, hunting monsters
Alan Sugar, investing in real estate
Emma Bovary, Metaphor Understanding: A Generative Approach
Ben Affleck, promoting racial harmony
Alec Baldwin, Energy efficiency of Deep Neural Networks
Bill Cosby, planting daffodils
Adam Sandler, testing new technologies
Al Bundy, Optimization of Resource Constrained IoT Platform Performance for Facilitating Diverse Security Services Leveraging MEC Edge Provisions 
Anton Chekov, Techniques to Support Spatially and Temporally Constrained Decisions
Ayn Rand, building giant walls
Bruce Lee, interviewing politicians
Leonard Cohen, writing political tracts
Alfred Hitchcock, Secure Service Migration and Offloading Protocol for Cloud and Edge Computing Platforms
Arnold Schwarzenegger, promoting movie violence
Billy Crystal, practicing good skin care
Anthony Bourdain, A Blockchain-based Information System for Healthcare Patient Records
Tina Fey, breaking heads
Benedict Arnold, singing middle-of-the-road songs
Benjamin Franklin, analyzing murder scenes
Bing Crosby, leaking information
Billy Bob Thornton, starring in romantic comedies
Al Pacino, Equestrian Dressage Tutor
Basil Fawlty, A web platform for running visualisation experiments
Anna Karenina, Empirical Evaluation of Vector Space Approaches for Sequence Classification
Daniel Day-Lewis, Forecasting Electricity Load for Commercial Buildings 
Albert Einstein, Collective Portrait - passive smart photo frame that aggregates faces
Bertie Wooster, writing up case notes
Al Gore, Narrative Emotion
Brian Wilson, nursing a messiah complex
Ariel Sharon, Pic(k) how you feel: an image-based assessment of mental health
Ann Coulter, pioneering new technologies
Benny Hill, selling fast food
Adam West, An Attentive Twitter Bot
Bill Murray, campaigning for world peace
Al Capone, Histogram Data Hiding
Aristotle Onasis, Age-Related Differences in Speech; Touchscreen and Mouse Interactions
